product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
COX C87 유무선 기계식 화이트 그레이,COX,39900,https://img.danuri.io/catalog-image/672/062/081/614511555cd64d4faa6af417f551d9d0.jpg?shrink=130:130&_v=20260617080448,기계식,유선+무선,텐키리스,40g,862,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,용과축,,오테뮤,81062672,,https://prod.danawa.com/info/?pcode=81062672&cate=112782,True
COX C87 유무선 기계식 화이트 그레이,COX,49900,https://img.danuri.io/catalog-image/672/062/081/614511555cd64d4faa6af417f551d9d0.jpg?shrink=130:130&_v=20260617080448,기계식,유선+무선,텐키리스,40g,862,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,허니축,,오테뮤,81062708,,https://prod.danawa.com/info/?pcode=81062708&cate=112782,True
ASUS TUF Gaming K3 Gen II 하츠네미쿠 에디션 대원씨티에스,ASUS,184290,https://img.danuri.io/catalog-image/227/966/105/40651f334f344285931ed0470677a28b.jpg?shrink=130:130&_v=20260617134113,무접점 광축,유선,97키,35g,1000,유선,정보없음,없음,,,,105966227,,https://prod.danawa.com/info/?pcode=105966227&cate=112782,True
마이크로닉스 MECHA ZK-1 RGB 게이밍 기계식 키보드,마이크로닉스,69000,https://img.danuri.io/catalog-image/781/761/014/83f0e3ec39974d00ada95ea9bff735a3.jpg?shrink=130:130&_v=20260617080552,기계식,유선,풀배열,50g,1056,유선,레이저각인 키캡,레인보우 백라이트,적축,,카일,14761970,,https://prod.danawa.com/info/?pcode=14761970&cate=112782,True
마이크로닉스 MECHA ZK-1 RGB 게이밍 기계식 키보드,마이크로닉스,56000,https://img.danuri.io/catalog-image/781/761/014/83f0e3ec39974d00ada95ea9bff735a3.jpg?shrink=130:130&_v=20260617080552,기계식,유선,풀배열,50g,1056,유선,레이저각인 키캡,레인보우 백라이트,갈축,,카일,14761781,,https://prod.danawa.com/info/?pcode=14761781&cate=112782,True
마이크로닉스 MECHA ZK-1 RGB 게이밍 기계식 키보드,마이크로닉스,129000,https://img.danuri.io/catalog-image/781/761/014/83f0e3ec39974d00ada95ea9bff735a3.jpg?shrink=130:130&_v=20260617080552,기계식,유선,풀배열,50g,1056,유선,레이저각인 키캡,레인보우 백라이트,백축,,카일,14761985,,https://prod.danawa.com/info/?pcode=14761985&cate=112782,True
마이크로닉스 EX580 크리스탈 파스텔 광축,마이크로닉스,62500,https://img.danuri.io/catalog-image/331/464/032/5b2c13829bc54e69bf2a52a2b04d391c.jpg?shrink=130:130&_v=20260617080501,무접점 광축,유선,풀배열,55g,1020,유선,한/영 정각,레인보우 백라이트,,,독자 규격,32464331,,https://prod.danawa.com/info/?pcode=32464331&cate=112782,True
CORSAIR K70 MAX 기계식 타이핑고래,CORSAIR,398990,https://img.danuri.io/catalog-image/114/001/070/dd0f4dd0598b42f2b49fcc2c432ad471.jpg?shrink=130:130&_v=20260617080507,무접점 자석축,유선,풀배열,45g,1390,유선,한/영 정각,RGB 백라이트,,,,70001114,,https://prod.danawa.com/info/?pcode=70001114&cate=112782,True
앱코 AK87H 텐키리스 홀리판다 V2 기계식,앱코,29900,https://img.danuri.io/catalog-image/074/319/062/867e01ca7f684ac2ae13704f6aaa7db9.jpg?shrink=130:130&_v=20260617092727,기계식,유선,텐키리스,45g,1007,유선,한/영 정각,RGB 백라이트,,,카일,62319074,,https://prod.danawa.com/info/?pcode=62319074&cate=112782,True
앱코 A108K 3모드 퀵스압 유무선 기계식 말차그린,앱코,69900,https://img.danuri.io/catalog-image/322/355/102/8a4363e444244b29b67101359fec3b02.jpg?shrink=130:130&_v=20260617080448,기계식,유선+무선,풀배열,45g,1500,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,맘모스축,,,102355322,,https://prod.danawa.com/info/?pcode=102355322&cate=112782,True
앱코 A108K 3모드 퀵스압 유무선 기계식 말차그린,앱코,73530,https://img.danuri.io/catalog-image/322/355/102/8a4363e444244b29b67101359fec3b02.jpg?shrink=130:130&_v=20260617080448,기계식,유선+무선,풀배열,45g,1500,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,벚꽃축,,,102355325,,https://prod.danawa.com/info/?pcode=102355325&cate=112782,True
앱코 KN01C 텐키리스 PBT 무접점 키보드 블루,앱코,143000,https://img.danuri.io/catalog-image/645/230/015/ad4b7563565b4f15b6b8b79962e2f33d.jpg?shrink=130:130&_v=20260617080447,무접점,유선,텐키리스,30g,790,유선,한/영 정각,RGB 백라이트,,,NIZ EC,15230645,,https://prod.danawa.com/info/?pcode=15230645&cate=112782,True
